year,r_ce_1.5,r_ce_2.0,r_ce_2.5,r_ce_3.0,r_ra_1.5,r_ra_2.0,r_ra_2.5,r_ra_3.0
2021,0.013859026299087576,0.018783354941452474,0.02377686319330096,0.028812910764121215,0.013922715294172517,0.01886226227445624,0.02386777217391494,0.028913940740536857
2022,0.014153535881839846,0.019089501617403828,0.024078283122496887,0.029101308879542927,0.014607328403379425,0.019647493718163465,0.024717433432185403,0.029808235422225257
2023,0.014449035438553129,0.01939665152297217,0.024380681556445013,0.029390646861361825,0.015315793579169573,0.020461318875997437,0.0255992193375733,0.030737502412003664
2024,0.014746551583443443,0.01970606308065717,0.024685501514897984,0.029682525989092857,0.016012875699563087,0.02126016417666767,0.026462996382025917,0.03164608622162338
2025,0.015046601571026117,0.020018372416663117,0.024993476448613664,0.029977765353133005,0.016774813939685846,0.0221385507899525,0.0274177222392258,0.03265513240749059
2026,0.014675698487649118,0.019580670407537047,0.0245083135764247,0.029455986150568905,0.016346546001601785,0.021630860866194295,0.02685282791174336,0.03204552961914644
2027,0.014545597821995836,0.019412051560345277,0.024307590809595936,0.02922707972186254,0.016301090677664564,0.021565997600920678,0.026770632554456667,0.03194740225679783
2028,0.01450843694843174,0.019341319190074254,0.024204578265640146,0.029093088254183185,0.016480312792592853,0.021758578059755892,0.026966787397602485,0.032142054612119414
2029,0.01453389689240882,0.019336825861352578,0.024167995516159953,0.02902396320053306,0.016753548304997437,0.02205500348977554,0.027271539772264153,0.03244735855488925
2030,0.014603765365077329,0.019379556581325764,0.024179044469250316,0.02900164359073426,0.01709139068670796,0.022423877449806878,0.027653204766003858,0.032832242281281135
2031,0.014303497050454722,0.01903140896803662,0.023798634259333575,0.02859756073412115,0.0166571389075783,0.02191505973320928,0.027092273767859786,0.032231657832867994
2032,0.014143330218208574,0.01884095146696919,0.02358623087509352,0.02836792628790714,0.016420383872419782,0.021631738153373308,0.026774639292063803,0.03188666488025106
2033,0.014043512563923922,0.018713827184365952,0.023436981747096373,0.02819969316755272,0.016315548026325257,0.02149701283985733,0.026615483198597585,0.0317064195833539
2034,0.013990744430378068,0.01863607504810488,0.023336975822428028,0.028079358105375152,0.016322650673443954,0.021490297181082196,0.02659460685269131,0.031671584207750576
2035,0.013976891317696178,0.018599435691449905,0.02327826894869922,0.027999507429238193,0.01647352830406722,0.021651235761569344,0.026757860426096867,0.03183327148524621
2036,0.013842418342125984,0.018438235830836824,0.023097324388632184,0.027802788119278266,0.016363514423462094,0.021517508780608426,0.026606107326041913,0.03166676632907683
2037,0.013797145327888954,0.01837795392362656,0.023024312717917373,0.027718481628403763,0.01634021456694492,0.021483430118317756,0.02656248883028925,0.0316144683357597
2038,0.0137858651192375,0.018352389942110484,0.02298487424573194,0.027665674833276383,0.016425446162204153,0.021576053810695148,0.02665805434594974,0.031710675551745476
2039,0.01380353046463594,0.01835643606345639,0.022974113388756073,0.02763981662137023,0.016542861298317113,0.021699840956853136,0.026781956074734593,0.03183152576664888
2040,0.013846517505454823,0.018386511509021788,0.022988689844019344,0.027637900995408155,0.016778569333640976,0.02196397736588736,0.02706214925719156,0.032121172230151165
2041,0.013770804174399895,0.018297587636496297,0.022890280446362713,0.027532044052146043,0.016664084127733212,0.02183152695956319,0.026917458289061696,0.03196734676023269
2042,0.0137635372854866,0.018286074810232547,0.022874568809688165,0.027512169542272983,0.0166267359422928,0.021785815117926075,0.0268649945043237,0.031909017090535945
2043,0.013781137243538199,0.01829938409778452,0.022882187807864184,0.027513405466861,0.016677764849629382,0.021842863471261038,0.02692509456865762,0.0319705205104083
2044,0.01382025807968961,0.01833402941753806,0.022909690655815166,0.02753243408928642,0.01676178633565874,0.021934451877016935,0.02701957936361207,0.03206540651411554
2045,0.013877746087366487,0.01838665390209721,0.022953686411689586,0.0275659168169911,0.016878819401108355,0.022062662599990866,0.027152435565675183,0.03219939908738555
2046,0.013797304507342787,0.01828432808758079,0.022833490893793107,0.027430258077007184,0.016784859828350814,0.02194289319055778,0.02701147524721144,0.032040002586639596
2047,0.013767313953360418,0.018238782579014956,0.02277368499517544,0.027357129361124596,0.016787137603217303,0.021935045862879327,0.02699319257582015,0.032011340024963746
2048,0.013757091139133289,0.018213070250096327,0.022732658877900738,0.02730117579088768,0.016822458854162704,0.02196554036378715,0.027016757584448277,0.03202702655594582
2049,0.013765961044789549,0.018206889578416107,0.022710550171817036,0.02726300416595948,0.016919128790909704,0.02206836243425904,0.027120365301926817,0.032128634895997765
2050,0.013792874080111175,0.01821940377977748,0.022706814952468974,0.027242402697012936,0.017063948524293545,0.0222248533131242,0.027280563976637053,0.03228837015422922
2051,0.013668074408304797,0.018062167639134725,0.022524054844983637,0.027038341916766892,0.017016269898521424,0.022155966933410202,0.02719308585346268,0.03218415234270355
2052,0.013591139639022651,0.017959819089356184,0.02240066256103196,0.026896738122578416,0.017003649961846824,0.022127534283123765,0.027149719680584383,0.03212676373590156
2053,0.013537178182372508,0.017882234053762023,0.022302549955087486,0.026780263583655123,0.017058753424911755,0.022178528085031627,0.027193841579332266,0.03216287788602041
2054,0.01350375361237178,0.01782670944625095,0.02222687079970194,0.026685992634755986,0.017124856920714467,0.022239009865551017,0.027245281364599177,0.032203843874048226
2055,0.013488599219798274,0.017790708602498873,0.022170933507739816,0.026611138765616285,0.017253433617533863,0.02237481372200313,0.027381628865816077,0.03233742858786065
2056,0.013411781135192912,0.017688380066318243,0.022046986835106388,0.0264680493324434,0.017246490061462547,0.022358023511259914,0.027355021837637758,0.03230121620277757
2057,0.013369652068830598,0.01762566521784049,0.021965813177440553,0.026369944003783983,0.017284863029615908,0.022392119498732186,0.027382635128592,0.03232139358972075
2058,0.013344253492003329,0.01758084674039842,0.021902855196722443,0.026289950638494857,0.017357368191566986,0.022465933326577803,0.027453833147603388,0.03238808770846332
2059,0.013334325082688158,0.017552608249222328,0.021856809240041606,0.026226812804583926,0.0174500478456082,0.022562532321646896,0.027549334326994062,0.03248000427057286
2060,0.013339382586874907,0.017540565349802938,0.021827420308862668,0.026180417167666493,0.017595494850957356,0.022719814375665053,0.027710720994091886,0.03264155083054319
2061,0.013239082655017324,0.017406431192581676,0.021664355083964325,0.025991531999043034,0.017575582830509407,0.02268260923017812,0.027656932154232847,0.032571881446854835
2062,0.013170250051192722,0.017307953827583506,0.021539446807246884,0.025842384405075337,0.01759070009509742,0.022685115459441144,0.02764561348015754,0.032546382153223335
2063,0.013118093618499095,0.017227254902705456,0.0214324930363,0.02571088604627936,0.017637482833350294,0.022725083335754338,0.02767605402833211,0.032566109392831395
2064,0.013081338912625142,0.017162966555453494,0.021342104532634413,0.025595665073047193,0.01771122825833575,0.022794633648751218,0.027737226780312017,0.03261693992570941
2065,0.013058928056252436,0.01711396615442804,0.021267155010348673,0.02549562463967929,0.017826517987253303,0.022912258844786326,0.027850848371474893,0.032723397363458244
2066,0.012938704906446033,0.01696451629815052,0.021094710376704275,0.025303822089240053,0.017730557625195764,0.02278961152666638,0.027707037037731547,0.032561781258607876
2067,0.01284331075804578,0.016842812555105717,0.020951712628149467,0.02514254188427673,0.017659685714443367,0.02269361283367964,0.027590075002922453,0.03242652662274106
2068,0.012762338190708851,0.01673625048003952,0.020823882532104546,0.024996127012254375,0.017627066076416908,0.0226414881401939,0.027520770986848273,0.0323417472254744
2069,0.012695578996953115,0.016644712983740935,0.020711200909860717,0.024864655699486496,0.017633120391597337,0.022632938672880448,0.027498067672103724,0.0323056199929323
2070,0.012642678751487738,0.016567887432569123,0.020613410648721412,0.02474793013400336,0.017680340396117097,0.02267218587775093,0.02752773447156489,0.03232531449177124
2071,0.012562277866543346,0.016463456538863237,0.020489882676276147,0.0246084369098347,0.017682112677648815,0.02266028979180831,0.027503091037893633,0.03228894357171136
2072,0.012502566199713162,0.016382472655904444,0.020391505551742337,0.024495227813973595,0.017715933072258695,0.02268446116572598,0.02751692104832001,0.032292590474833224
2073,0.012455118048686261,0.016314724056558583,0.02030670785361646,0.0243956156017956,0.017776424755361134,0.022739166623797075,0.027563965151296114,0.03233150801433504
2074,0.012419380799026323,0.01625965116999654,0.02023495208995293,0.02430909951290675,0.017867460363695825,0.022828159352213103,0.02764754685967899,0.03240842406868898
2075,0.01239478422325613,0.016216661923328594,0.020175654921887963,0.024235120944370622,0.017983728537277456,0.022944533562022064,0.02775957562282947,0.03251432347261664
2076,0.012319468578234608,0.01613228747806342,0.020086980304600537,0.024144928322325575,0.017868117490048182,0.022811951093808073,0.02761549967200517,0.03236182990010013
2077,0.012263937122573924,0.016070328621876316,0.020022320912689656,0.02407978023730147,0.017771334178691336,0.02270066630976532,0.02749428992773397,0.03223329440773945
2078,0.012222217333018162,0.01602361588011431,0.01997362088554754,0.02403091242479275,0.017697286768224477,0.022614692644839996,0.02739991923414375,0.032132579984118836
2079,0.012193474601280577,0.015991215122312556,0.019939889507647426,0.023997300969030272,0.017663213144163158,0.02257477383851015,0.027355695770911514,0.03208501964219469
2080,0.012177237374252265,0.015972629987126067,0.019920629368139493,0.023978459833849348,0.017647451326336147,0.02255480937231254,0.027332286469983813,0.0320587592000418
2081,0.012128431163243959,0.015908367933663715,0.019842815023912254,0.023888108211140655,0.017617739396211952,0.022512329715566496,0.027278956532124764,0.03199581989798364
2082,0.01209289449675998,0.015858527159490148,0.01977984812254913,0.02381265120373171,0.017614141355880984,0.02249958576598975,0.027257463824929135,0.03196597334993369
2083,0.012068216650071495,0.01582023777045958,0.01972852277187901,0.023748616850216727,0.017633583614775034,0.022513400033165445,0.027264942318600723,0.03196692640650055
2084,0.012053941984052819,0.015793013720319774,0.019688343720335465,0.0236955113532668,0.01768412142005198,0.022563588889491917,0.027312506672506433,0.03201082439472772
2085,0.012049709073541625,0.015776474485758037,0.019658926448974524,0.02365295325636574,0.017747631990555627,0.02262825606803734,0.027375240839254165,0.032070112915101597
2086,0.012008052498885714,0.015727549093104597,0.01960550405712314,0.02359664457874571,0.017725895923652552,0.02259691801490777,0.027336394305721313,0.032025179473294606
2087,0.011978222702684194,0.015691374371564305,0.01956511836796595,0.023553333126687465,0.017731019370311924,0.022596603094503422,0.027331339218435537,0.03201605536060954
2088,0.011958816065135137,0.01566632941950137,0.01953600946006964,0.023521164294028177,0.017752561475682247,0.022615683103762434,0.027347828841345838,0.032030157007672484
2089,0.011949268484547627,0.01565180721488559,0.019517561885416982,0.023499533331700996,0.017794507580735915,0.02265668310958741,0.02738664704054173,0.03206643570886006
2090,0.011949006482378755,0.01564718113043732,0.01950913036187301,0.023487795480000306,0.017853815002109936,0.02271866709205197,0.027449193609203126,0.03212868611372257
2091,0.01188980840382413,0.015568533179963649,0.019413971371258,0.023377941960039776,0.01784030458425761,0.022692590104692052,0.02741155576864469,0.03208034511432977
2092,0.01184163547639725,0.015501941691287435,0.019331310966143603,0.02328072236375182,0.01785347658419784,0.02269695744366201,0.02740667436388883,0.032066291820859134
2093,0.011803243890761404,0.015445916213099365,0.019259477123166235,0.023194321434733878,0.017884866420970664,0.022722956553059247,0.027425759606515353,0.03207791036346511
2094,0.011774873044901548,0.01540080835120743,0.01919892193852511,0.023119284206257938,0.017923319693391525,0.022755172617586257,0.027449907460541295,0.0320933281868724
2095,0.011756084636123203,0.015366123471512222,0.01914911754027483,0.023055062728052335,0.017987008367334932,0.022817695245123382,0.02750808294718454,0.03214571615499351
2096,0.011686777068600725,0.01527813617090767,0.01904602656938661,0.022938960446098652,0.017961147787662366,0.022779221260231422,0.027458748944984856,0.03208673903586365
2097,0.01163098818796656,0.015205314197944735,0.01895902897867665,0.02283949403016623,0.017948936258606902,0.022755307428228438,0.0274241773554064,0.03204236227522174
2098,0.011585228889641086,0.015143455388719241,0.018883393309227347,0.02275150912440479,0.017963579226411317,0.022762685335859782,0.02742399315304885,0.032034750716499485
2099,0.011548976968705512,0.015091978494463303,0.018818512491398202,0.022674392292465404,0.017992186706018556,0.022786191004859374,0.02744133895743814,0.03204562878837677
2100,0.011521666179440527,0.0150502424832884,0.01876370606641675,0.02260744444856446,0.01804114634946714,0.0228334422560906,0.027484843385928392,0.03208455271464111
2101,0.011403407480924091,0.014900673224340794,0.018587717572581115,0.022407667575873265,0.01795235786840618,0.02271894002000762,0.02734989564977736,0.031932218447569855
2102,0.011299217379060578,0.01476689184070595,0.01842840267124505,0.02222497889812985,0.01788368344196969,0.02262720254842086,0.02723943885855637,0.031805600010548225
2103,0.011205430705401077,0.014644419360498167,0.01828064409965267,0.022053721641955893,0.017839313829565117,0.022562589744262656,0.027157696110378174,0.031708629843440986
2104,0.011121738164034086,0.014532882610825346,0.018144010077570067,0.021893406242231572,0.017810542600463625,0.022515802448020417,0.027095070443509044,0.031631506504017415
2105,0.011047957923320353,0.014432061568411567,0.018018241009300877,0.021743730784235124,0.017800668907569216,0.022491419649906603,0.02705746800285665,0.03158151778236665
2106,0.010945121191366581,0.01431192185754661,0.017886687771398565,0.02160395919308379,0.017719518580945334,0.022385374750580802,0.026932819503476365,0.031442235513833836
2107,0.010854533713119788,0.014205215756912984,0.017769127686120312,0.021478423111705024,0.017660543915602806,0.022303787293065837,0.02683384884232713,0.03132928822386063
2108,0.010773072027005497,0.014108159092694422,0.01766127428162827,0.021362425602434357,0.01762347005937215,0.02224784381172982,0.026763155110457914,0.03124663783379679
2109,0.01070026353243245,0.014020198102016808,0.017562515721898042,0.02125531022214141,0.01760521958495077,0.022212657851307504,0.026714156421623322,0.031186114227710976
2110,0.01063564558403495,0.013940787429091545,0.01747224676699994,0.02115642527006746,0.01760785193483315,0.022202574126794935,0.026693374656083402,0.0311562769372932
2111,0.0105606226704679,0.013850840124749493,0.017372184797757793,0.021049143712132172,0.017574464497080278,0.022151436065630026,0.026628045687697204,0.031079218049587878
